-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 10/20/2017 through 10/21/2017 
Location: Latitude  -29.7896   Longitude -57.091 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 70.58 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M,RH2M
-29.78959,-57.09099,2017,10,20,   19.47,   78.97
-29.78959,-57.09099,2017,10,21,   19.36,   84.45
